"waveid","individ_i","individ_j","status"
1,"pe0102","pe0101","currently married"
1,"pe0801","pe0101","currently married"
1,"pe0202","pe0201","currently married"
1,"pe0302","pe0301","currently married"
1,"pe0502","pe0501","currently married"
1,"pe0602","pe0601","currently married"
1,"pe0702","pe0701","currently married"
1,"pe1002","pe1001","currently married"
1,"pe1102","pe1101","currently married"
1,"pe1202","pe1201","currently married"
1,"pe1302","pe1301","currently married"
1,"pe1602","pe1601","currently married"
1,"pe1702","pe1701","currently married"
1,"pe1902","pe1901","currently married"
1,"pe2002","pe2001","currently married"
1,"pe2102","pe2101","currently married"
1,"pe2202","pe2201","currently married"
1,"pe2301","pe2401","currently married"
1,"pe2402","pe2401","currently married"
1,"pe2502","pe2501","currently married"
1,"pe2602","pe2601","currently married"
1,"pe2702","pe2701","currently married"
1,"pe2802","pe2801","currently married"
1,"pe2902","pe2901","currently married"
1,"pe3102","pe3101","currently married"
1,"pe3201","pe3101","currently married"
1,"pe3302","pe3301","currently married"
1,"pe3402","pe3401","currently married"
1,"pe3502","pe3501","currently married"
1,"pe3702","pe3701","currently married"
1,"pe3802","pe3801","currently married"
1,"pe4302","pe4301","currently married"
1,"pe4402","pe4401","currently married"
1,"pe4502","pe4501","currently married"
1,"pe5701","pe4501","currently married"
1,"pe4702","pe4701","currently married"
1,"pe4802","pe4801","currently married"
1,"pe4902","pe4901","currently married"
1,"pe5202","pe5201","currently married"
1,"pe5401","pe5201","currently married"
1,"pe0401","pe6101","currently married"
1,"pe6102","pe6101","currently married"
1,"pe3901","pe9718","widowed"
1,"pe1704","pe1703","currently married"
1,"pe1706","pe1705","currently married"
1,"pe4102","pe4101","currently married"
1,"pe6201","","divorced"
1,"pe1703","pe1704","currently married"
1,"pe1705","pe1706","currently married"
