"item.to.submit","final.prices.used.for.pe_posscost..to.submit","in.dollars..bot.rate.aug.2018.2263.5941","notes.red.not.submitted"
"base wealth","500,000","220.89",NA
"house type 1","2,000,000","883.55",NA
"house type 2","2,200,000","971.91",NA
"house type 3","3,000,000","1,325.33",NA
"house type 4","3,300,000","1,457.86",NA
"house type 5","3,600,000","1,590.39",NA
"house type 6","3,900,000","1,722.92",NA
"house type 7","4,200,000","1,855.46",NA
"house type 8","5,000,000","2,208.88",NA
"house type 9","5,500,000","2,429.76",NA
"house type 10","6,000,000","2,650.65",NA
"house type 11","6,500,000","2,871.54",NA
"house type 12","7,000,000","3,092.43",NA
"house type 13","8,000,000","3,534.20",NA
"house type 14","8,500,000","3,755.09",NA
"house type 15","16,900,000","7,466.00",NA
"house type 16","19,500,000","8,614.62",NA
"traditional_stove","0","0.00",NA
"charcoal_stove","8,000","3.53",NA
"jerry","2,000","0.88",NA
"bucket","7,000","3.09",NA
"mat_traditional","40,000","17.67",NA
"mat_purchased","12,000","5.30",NA
"rope_bed","30,000","13.25",NA
"chair","20,000","8.84",NA
"mosquito_net","9,000","3.98",NA
"mattress","160,000","70.68",NA
"radio","30,000","13.25",NA
"bicycle","100,000","44.18",NA
"mobile_phone","50,000","22.09",NA
"large_table","35,000","15.46",NA
"small_table","30,000","13.25",NA
"couch","250,000","110.44",NA
"donkey","800,000","353.42",NA
"oxcart","700,000","309.24",NA
"solar_panel","500,000","220.89",NA
"gas cooker","100,000","44.18",NA
"tv_dvd_player","1,000,000","441.78",NA
"satelite dish","150,000","66.27",NA
"generator","400,000","176.71",NA
"computer","1,000,000","441.78",NA
"refrigerator","550,000","242.98",NA
"freezer","550,000","242.98",NA
"modern_bed","120,000","53.01",NA
"goat","150,000","66.27",NA
"cow","800,000","353.42",NA
"chicken","20,000","8.84",NA
"duck","50,000","22.09",NA
"dog","0","0.00",NA
"machete","3,500","1.55",NA
"hoe","3,000","1.33",NA
"axe","10,000","4.42",NA
"wheelbarrow","90,000","39.76",NA
"sprayer","60,000","26.51",NA
"pump","60,000","26.51",NA
"torch_vol","3,000","1.33",NA
"digging_tool_1_vol","20,000","8.84",NA
"digging_tool_2_vol","20,000","8.84",NA
"misc_tools_vol","40,000","17.67",NA
"hammer_vol","10,000","4.42",NA
"shovel_spade_vol","15,000","6.63",NA
"digging_tool_3_vol","20,000","8.84",NA
"mat_for_clove_drying_vol","5,000","2.21",NA
"sharp_pole_vol","20,000","8.84",NA
"car","1,000,000","441.78",NA
"gun","0","0.00",NA
"cloves_amount","130,000","57.43",NA
"palms_amount","80,000","35.34",NA
"planted_trees_amount","100,000","44.18",NA
"oranges_amount_vol","70,000","30.92",NA
"cinnamon_amount_vol","20,000","8.84",NA
"cyprus_amount_vol","150,000","66.27",NA
"acacia_amount_vol","100,000","44.18",NA
"jackfruit_amount_vol","100,000","44.18",NA
"mango_amount_vol","80,000","35.34",NA
"hook_line","5,000","2.21",NA
"drag_net","850,000","375.51",NA
"seine_net","250,000","110.44",NA
"dugout","800,000","353.42",NA
"cloth_sail","35,000","15.46",NA
"two_person_saw","150,000","66.27",NA
"chainsaw","345000","152.41",NA
"shop","0","0.00",NA
"2_inch_net_vol","120,000","53.01",NA
"mask & snorkel pipe_vol","13,000","5.74",NA
"4_inch_net_vol","120,000","53.01",NA
"1_inch_net_vol","120,000","53.01",NA
"metal_saw_vol","12,000","5.30",NA
"level_vol","20,000","8.84",NA
"tape_vol","4,000","1.77",NA
"hand_saw_vol","12,000","5.30",NA
"plank_vol","2,000","0.88",NA
"flippers_vol","40,000","17.67",NA
"1.5_inch_net_vol","12,000","5.30",NA
"plane_vol","30,000","13.25",NA
"iron bar (mtarimbo)_vol","25,000","11.04",NA
