"su_id","nwives2018","su_direct_wealth","log_wealth","status","khazi"
"pesu101",2,12385000,16.3319966209056,1,0
"pesu102",1,11396500,16.2488168486813,0,0
"pesu103",1,17458500,16.6753371940323,1,0
"pesu104",2,14286500,16.4748255933846,1,1
"pesu105",1,95126500,18.3707181427472,1,0
"pesu106",1,24122500,16.9986555728767,1,0
"pesu107",1,26032500,17.0748563153862,0,0
"pesu108",2,14363500,16.4802008244769,1,0
"pesu110",1,19508000,16.7863351958121,1,0
"pesu111",1,12005500,16.300875436083,0,0
"pesu112",1,18985500,16.7591860878827,1,0
"pesu113",1,5052000,15.4352947624525,0,0
"pesu116",1,16563500,16.6227120372466,0,0
"pesu117",1,11012000,16.2144961452446,1,0
"pesu119",1,17563000,16.6813049744039,0,0
"pesu120",1,11640500,16.2700009546715,0,0
"pesu121",1,17474500,16.6762532333715,0,0
"pesu122",1,20091000,16.8157825115603,1,0
"pesu123",2,12671500,16.3548659351872,1,0
"pesu124",2,12918500,16.3741709505075,1,0
"pesu125",1,11617500,16.2680231399413,0,0
"pesu126",1,25092500,17.0380795546701,1,1
"pesu127",1,76497000,18.1527620823415,1,1
"pesu128",1,15230000,16.5387777248713,0,1
"pesu129",1,9807000,16.0986069743745,0,0
"pesu131",2,7899500,15.882310024295,1,1
"pesu132",2,8058000,15.9021759447334,0,1
"pesu133",1,35428000,17.3830130259116,1,1
"pesu134",1,28397000,17.161794063749,0,0
"pesu135",1,24821000,17.0272006270177,1,1
"pesu137",1,22300500,16.9201196577037,1,0
"pesu138",1,12624000,16.3511103220678,0,0
"pesu139",1,10347000,16.1522071805871,0,0
"pesu143",1,58394000,17.8827237027943,0,0
"pesu144",1,18016500,16.7067985626448,0,1
"pesu145",2,21889500,16.901517627758,1,1
"pesu147",1,17103000,16.6547644446818,0,0
"pesu148",1,11028000,16.2159480511258,1,0
"pesu149",1,72070500,18.093155364576,1,1
"pesu152",2,40893000,17.5264694572211,0,0
"pesu154",2,41605000,17.5437309103167,1,0
"pesu157",2,19235500,16.7722680881119,0,0
"pesu161",2,11656000,16.2713316268572,0,0
"pesu162",1,4080500,15.2217300878914,0,0
